CountyFipsCode	BuildingCode	StructureCode	StructureNbr	LandSqft	LivingSqft	GarageSqft	BasementSqft	BasementFinishedSqft	AtticSqft	Bedrooms	TotalRooms	TotalBaths	FirePlaces	YearBuilt	EffectiveYearBuilt	Condition	ConditionCode	Quality	QualityCode	GarageCarportCode	GarageNoOfCars	HasPatioPorch	PatioPorchCode	HasPool	PoolCode	Zonning	LandValue	ImprovementValue	TotalValue	AssessedYear	PropTaxAmount	City	State	Zip	Latitude	Longitude	BuildingShapeCode	ConstructionCode	Stories	UnitsInBuilding	FoundationCode	ExteriorCode	RoofCode	CoolingCode	HeatingCode	HeatingSourceCode	IsWaterfront	View	ViewScore	LastSaleDate	LastSalePrice	DocType	DeedType	TransType	ArmsLengthFlag	DistressCode	StatusDate	SellDate	SellPrice	OwnerOccupied	DistrsdProp	IsFixer
53033	1		1	39587	757	0	0	0	0	1	0	1	1	2005	0	FAI	2	QEX	9	GB1	0	False		False		DNTNO1	45199	486799	532000	2016	4651		WA	98004	47.604	-122.201		3	22	0							False	12	2	2006-03-27 00:00:00	240500	W		R	True		2017-02-17 00:00:00	2006-03-27		False	0	0.0
53033	1		1	3999	1980	420	0	0	0	3	0	3	1	1989	0	AVE	3	QGO	8	GA2	0	False		False		SR4.5	79999	219999	300000	2016	3941		WA	98042	47.388	-122.154		0	2	1					5	4	False		1	2001-11-28 00:00:00	255900	G		R	True		2012-12-05 17:08:00	2001-11-28	255900	True	0	0.0
53033	9		1	84217	1141	0	0	0	0	2	0	2	1	1978	0	FAI	2	QGO	8	C 1	0	False		False		R10	145099	305899	451000	2016	3945		WA	98004	47.621	-122.207		0	2	23							False	12	2	1991-10-02 00:00:00	132500			R	True		2017-02-17 00:00:00	1991-10-02		False	0	0.0
53033	1		1	646283	692	0	0	0	0	2	0	1	1	1965	0	AVE	2	QFA	4		0	False		False		R30	53099	85299	138400	2012	12		WA	98008	47.62	-122.123		0	2	191							False	12	2	2002-01-10 00:00:00	0				True		2017-02-23 00:00:00	2002-01-10		False	0	0.0
53033	9		1	564102	1437	0	0	0	0	3	0	2	1	1982	0	FAI	2	QAV	6	G 1	0	False		False		MRG	53599	109399	163000	2016	2195		WA	98031	47.416	-122.189		0	2	78							False	12	2	2003-12-02 00:00:00	152500	G		R	True		2017-02-17 00:00:00	2003-12-02	152500	False	0	0.0
53033	1		1	497890	662	0	0	0	0	1	0	1	1	1975	0	FAI	2	QAV	6	C 1	0	False		False		R15	32599	152399	185000	2016	1669		WA	98004	47.642	-122.195		0	3	155							False	12	2	1985-10-01 00:00:00	35000				True		2017-02-17 00:00:00	1985-10-01		False	0	0.0
53033	9		1	787116	1476	0	0	0	0	3	0	2	1	1978	0	FAI	2	QAV	6	G 1	0	False		False		RM1800	39599	142399	182000	2016	406		WA	98003	47.311	-122.333		0	2	155							False	12	2	2004-01-26 00:00:00	187460	G		R	True		2012-12-05 17:14:00	2004-01-26	187460	True	0	0.0
53033	1		1	3999	1220	230	530	300	0	3	0	3	1	2005	0	AVE	3	QGO	8	GB0	0	False		False		LR2	247999	299999	548000	2016	5221		WA	98116	47.575	-122.419		0	2	0					2	2	False		3	2005-04-18 00:00:00	630000	W		S	True		2012-12-06 11:38:00	2005-04-18	630000	True	0	0.0
53033	9		1	1045875	1378	0	0	0	0	3	0	2	1	1979	0	FAI	2	QAV	6	C 1	0	False		False		R20	110999	193999	305000	2016	2926		WA	98052	47.676	-122.147		0	3	144							False	12	2	2008-04-04 00:00:00	319000	W		R	True		2012-12-05 17:17:00	2008-04-04	319000	True	0	0.0
53033	1		1	688820	797	0	0	0	0	2	0	1	1	1979	0	FAI	2	QAV	6		0	False		False		RM1800	25499	58499	84000	2016	1210		WA	98003	47.311	-122.328		0	2	196							False	12	2	2006-05-31 00:00:00	111000	W		R	True		2017-02-17 00:00:00	2006-05-31	111000	False	0	0.0
